file,artist,title,year,genre
Brigitte Fontaine/Art Ensemble Of Chicago ft. Brigitte Fontaine - Comme Е la Radio/11 Le Goudron.mp3,Art Ensemble Of Chicago ft. Br,Le Goudron,1970,""
Brigitte Fontaine/Art Ensemble Of Chicago ft. Brigitte Fontaine - Comme Е la Radio/09 Tanka I.mp3,Art Ensemble Of Chicago ft. Br,Tanka I,1970,""
Brigitte Fontaine/Art Ensemble Of Chicago ft. Brigitte Fontaine - Comme Е la Radio/04 J'ai 26 ans.mp3,Art Ensemble Of Chicago ft. Br,J'ai 26 ans,1970,""
Brigitte Fontaine/Art Ensemble Of Chicago ft. Brigitte Fontaine - Comme Е la Radio/08 Les Petits Chevaux.mp3,Art Ensemble Of Chicago ft. Br,Les Petits Chevaux,1970,""
Brigitte Fontaine/Art Ensemble Of Chicago ft. Brigitte Fontaine - Comme Е la Radio/03 Le Brouillard.mp3,Art Ensemble Of Chicago ft. Br,Le Brouillard,1970,""
Brigitte Fontaine/Art Ensemble Of Chicago ft. Brigitte Fontaine - Comme Е la Radio/12 Le Noir c'est mieux choisi.mp3,Art Ensemble Of Chicago ft. Br,Le Noir c'est mieux choisi,1970,""
Brigitte Fontaine/Art Ensemble Of Chicago ft. Brigitte Fontaine - Comme Е la Radio/06 Encore.mp3,Art Ensemble Of Chicago ft. Br,Encore,1970,""
Brigitte Fontaine/Art Ensemble Of Chicago ft. Brigitte Fontaine - Comme Е la Radio/02 Tanka II.mp3,Art Ensemble Of Chicago ft. Br,Tanka II,1970,""
Brigitte Fontaine/Vous Et Nous/13 Un soleil.mp3,areski et brigitte fontaine,Un soleil,1977,""
Brigitte Fontaine/Vous Et Nous/14 Dans ma rue.mp3,areski et brigitte fontaine,Dans ma rue,1977,""
Brigitte Fontaine/Vous Et Nous/06 Je suis venu te voir.mp3,areski et brigitte fontaine,Je suis venu te voir,1977,""
Brigitte Fontaine/Vous Et Nous/19 Je t'aimerai.mp3,areski et brigitte fontaine,Je t'aimerai,1977,""
Brigitte Fontaine/Vous Et Nous/01 Vous et nous.mp3,areski et brigitte fontaine,Vous et nous,1977,""
Brigitte Fontaine/Vous Et Nous/20 Diabolo.mp3,areski et brigitte fontaine,Diabolo,1977,""
Brigitte Fontaine/Vous Et Nous/28 Le petit cheval bleu.mp3,areski et brigitte fontaine,Le petit cheval bleu,1977,""
Brigitte Fontaine/Vous Et Nous/09 Le ciel.mp3,areski et brigitte fontaine,Le ciel,1977,""
Brigitte Fontaine/Vous Et Nous/16 Gamme.mp3,areski et brigitte fontaine,Gamme,1977,""
Brigitte Fontaine/Vous Et Nous/12 L'amour parfait.mp3,areski et brigitte fontaine,L'amour parfait,1977,""
Brigitte Fontaine/Vous Et Nous/15 L'orage est fini.mp3,areski et brigitte fontaine,L'orage est fini,1977,""
Brigitte Fontaine/Vous Et Nous/11 Vous et nous.mp3,areski et brigitte fontaine,Vous et nous,1977,""
